"ConsultationID","OrganizationName","Title","StatusCurrent","StatusCurrentMapped","Description","GeographicScope","GeographicScopeType","GeographicScopeObject","PublicEventTitle","PublicEventDescription","PublicEventLink","PublicEventAddress1","PublicEventAddress2","PublicEventLocality","PublicEventRegion","PublicEventStartDate","PublicEventEndDate","PublicEventStartTime","PublicEventEndTime"
"1002","BC Housing,A Vision For Renewing Riverview","Consultation complete, report delivered.","Completed","Completed","A vision for renewing the Riverview Lands reflects the collective input of thousands of people and a broad range of stakeholders consulted through a two-year visioning process. Its purpose is to guide future development of Riverview Lands by creating a forward-thinking and pragmatic vision – one that balances the social, economic and environmental objectives of the Province of British Columbia, the City of Coquitlam, the Kwikwetlem First Nation and the local community.","Metro Vancouver","region","{""type"":""FeatureCollection"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:OGC:1.3:CRS84""}},""features"":[{""type"":""Feature"",""properties"":{""Name"":""Metro Vancouver"",},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.46249,49.17108],[-122.46237,49.16874],[-122.46126,49.1471],[-122.46055,49.13262],[-122.46028,49.12471],[-122.45974,49.11833],[-122.4597,49.10519],[-122.45951,49.1],[-122.45937,49.0889],[-122.45988,49.08226],[-122.45988,49.07502],[-122.45981,49.06049],[-122.45969,49.0532],[-122.45964,49.0314],[-122.45957,49.00223],[-122.47634,49.00218],[-122.49698,49.00225],[-122.51503,49.00226],[-122.52392,49.0022],[-122.53978,49.00218],[-122.5592,49.00225],[-122.57998,49.00224],[-122.62524,49.00222],[-122.64,49.00226],[-122.64725,49.0022],[-122.66908,49.00213],[-122.68011,49.00212],[-122.714,49.0021],[-122.7578,49.00208],[-122.79025,49.00212],[-122.84547,49.00216],[-122.95698,49.00215],[-123.0,49.00212],[-123.03816,49.00208],[-123.08936,49.00206],[-123.11817,49.00211],[-123.17429,49.0022],[-123.24321,49.00226],[-123.32277,49.00229],[-123.32112,49.01481],[-123.31213,49.08267],[-123.30996,49.09906],[-123.30996,49.1482],[-123.30996,49.2],[-123.30996,49.22982],[-123.30996,49.25914],[-123.28983,49.25915],[-123.28634,49.26192],[-123.26806,49.25438],[-123.25696,49.24756],[-123.23051,49.23189],[-123.2282,49.23067],[-123.22619,49.2298],[-123.20633,49.22336],[-123.20353,49.22202],[-123.20366,49.22312],[-123.20465,49.22347],[-123.20727,49.22483],[-123.2078,49.22545],[-123.20871,49.22775],[-123.20979,49.2283],[-123.2108,49.22935],[-123.21451,49.23149],[-123.21567,49.23197],[-123.21988,49.23426],[-123.22224,49.23593],[-123.22003,49.23937],[-123.20881,49.23499],[-123.20587,49.23692],[-123.20516,49.23719],[-123.19687,49.23496],[-123.19689,49.23656],[-123.1986,49.23657],[-123.19856,49.2384],[-123.19687,49.23853],[-123.1968,49.24624],[-123.19899,49.24632],[-123.20497,49.24932],[-123.20096,49.25003],[-123.19663,49.25011],[-123.19658,49.25653],[-123.20295,49.25664],[-123.20322,49.2581],[-123.21539,49.2583],[-123.21507,49.26733],[-123.21959,49.26715],[-123.21962,49.26895],[-123.22181,49.26873],[-123.22174,49.27029],[-123.22453,49.27267],[-123.22479,49.27472],[-123.222,49.28278],[-123.16435,49.282],[-123.16447,49.31614],[-123.14159,49.31617],[-123.14133,49.31614],[-123.14174,49.31764],[-123.14385,49.31794],[-123.14512,49.31863],[-123.14574,49.31931],[-123.14756,49.3189],[-123.1492,49.31891],[-123.15065,49.31926],[-123.15177,49.31987],[-123.15263,49.32106],[-123.15401,49.32225],[-123.15525,49.32384],[-123.1571,49.32398],[-123.1604,49.32373],[-123.1629,49.32418],[-123.16603,49.32447],[-123.1688,49.32441],[-123.17109,49.32474],[-123.17339,49.32571],[-123.17458,49.32656],[-123.17666,49.32837],[-123.17873,49.3294],[-123.18183,49.32999],[-123.18409,49.33011],[-123.18583,49.33085],[-123.18809,49.33151],[-123.18953,49.3323],[-123.19257,49.33234],[-123.19603,49.33274],[-123.19735,49.33319],[-123.19912,49.33421],[-123.20059,49.33559],[-123.20275,49.3352],[-123.20477,49.33541],[-123.20618,49.33593],[-123.20745,49.3369],[-123.20827,49.33722],[-123.21103,49.33735],[-123.2145,49.33618],[-123.21616,49.33573],[-123.2185,49.33545],[-123.22171,49.33568],[-123.22394,49.33648],[-123.22623,49.33689],[-123.22947,49.33842],[-123.23208,49.33708],[-123.23415,49.33628],[-123.23615,49.33573],[-123.23802,49.33554],[-123.24028,49.33562],[-123.24337,49.33612],[-123.24586,49.33701],[-123.24687,49.33572],[-123.24812,49.33505],[-123.24994,49.33452],[-123.25044,49.33363],[-123.25175,49.33231],[-123.25341,49.33113],[-123.25505,49.3302],[-123.25701,49.32982],[-123.2577,49.32992],[-123.25828,49.32909],[-123.25979,49.32825],[-123.26406,49.32708],[-123.26575,49.32708],[-123.26712,49.3274],[-123.26947,49.32866],[-123.27041,49.32939],[-123.27156,49.33083],[-123.27158,49.33137],[-123.27256,49.3324],[-123.27281,49.33334],[-123.27238,49.3347],[-123.27341,49.33553],[-123.27391,49.33643],[-123.2739,49.33778],[-123.27338,49.33869],[-123.27391,49.33961],[-123.27391,49.34091],[-123.27319,49.3425],[-123.27232,49.34366],[-123.2756,49.34577],[-123.27653,49.34705],[-123.27654,49.34817],[-123.27585,49.34927],[-123.27814,49.34987],[-123.27918,49.35067],[-123.27965,49.35145],[-123.2797,49.35284],[-123.28095,49.35316],[-123.28231,49.35381],[-123.28351,49.35474],[-123.2862,49.35528],[-123.28794,49.35628],[-123.28873,49.35753],[-123.28883,49.35989],[-123.29004,49.36056],[-123.29145,49.36224],[-123.29182,49.36484],[-123.29103,49.36728],[-123.2899,49.36833],[-123.29131,49.3686],[-123.2949,49.36965],[-123.29654,49.37054],[-123.29747,49.37156],[-123.29774,49.37248],[-123.29757,49.37345],[-123.29652,49.37513],[-123.29513,49.37629],[-123.29421,49.37791],[-123.29268,49.37911],[-123.29133,49.37962],[-123.28996,49.37981],[-123.28766,49.37943],[-123.28568,49.38048],[-123.28268,49.38158],[-123.28142,49.38175],[-123.28038,49.38156],[-123.27805,49.38293],[-123.27584,49.38348],[-123.27295,49.38332],[-123.27107,49.38245],[-123.26924,49.38407],[-123.26633,49.38601],[-123.2646,49.38738],[-123.2637,49.38865],[-123.26247,49.38966],[-123.26218,49.39153],[-123.26183,49.3921],[-123.26038,49.39339],[-123.25886,49.39503],[-123.25614,49.39666],[-123.25625,49.39858],[-123.25612,49.39985],[-123.25481,49.40152],[-123.25324,49.40249],[-123.24922,49.40425],[-123.24855,49.40532],[-123.24856,49.40722],[-123.24758,49.40851],[-123.19603,49.40771],[-123.13732,49.40678],[-123.12346,49.40666],[-123.04752,49.40847],[-123.01596,49.40846],[-122.97288,49.40823],[-122.94765,49.41002],[-122.89369,49.41381],[-122.87923,49.4138],[-122.87662,49.38266],[-122.83669,49.38264],[-122.83615,49.38164],[-122.83504,49.38091],[-122.83315,49.37932],[-122.83043,49.37812],[-122.82831,49.37687],[-122.82743,49.37587],[-122.82747,49.37458],[-122.82791,49.37288],[-122.82857,49.37166],[-122.83036,49.36918],[-122.83161,49.36673],[-122.83173,49.36472],[-122.8309,49.36263],[-122.829,49.36272],[-122.82795,49.36233],[-122.82788,49.36165],[-122.82634,49.35904],[-122.82649,49.3578],[-122.82687,49.35717],[-122.82641,49.35599],[-122.82473,49.35406],[-122.82401,49.3524],[-122.82398,49.3514],[-122.82261,49.35138],[-122.81257,49.35136],[-122.78451,49.35119],[-122.74769,49.35111],[-122.70543,49.35101],[-122.67738,49.35102],[-122.6666,49.35123],[-122.6437,49.35122],[-122.63264,49.35112],[-122.61991,49.35112],[-122.61899,49.35126],[-122.61683,49.35103],[-122.61485,49.35045],[-122.61295,49.35068],[-122.6109,49.3512],[-122.60658,49.35175],[-122.60027,49.35324],[-122.57963,49.35326],[-122.56661,49.35326],[-122.54287,49.35323],[-122.52051,49.35323],[-122.40801,49.35316],[-122.40801,49.35313],[-122.40806,49.3],[-122.40809,49.26587],[-122.42407,49.26588],[-122.42412,49.25621],[-122.42418,49.23439],[-122.42417,49.22714],[-122.42416,49.22049],[-122.42414,49.20547],[-122.42421,49.19829],[-122.42424,49.17831],[-122.42417,49.17756],[-122.42323,49.17696],[-122.42382,49.17576],[-122.42395,49.17265],[-122.42464,49.17212],[-122.42464,49.1684],[-122.42894,49.16957],[-122.43324,49.17016],[-122.43613,49.17074],[-122.43965,49.1711],[-122.44947,49.17181],[-122.45248,49.17194],[-122.4593,49.17146],[-122.46249,49.17108]]]]}}]}",,,,,,,,,,,
"1402","Yukon Highways and Public Works","Whitehorse Corridor - Alaska Highway","Consultation complete, report delivered.","Completed","The Government of Yukon is considering options for the improvements to the Whitehorse corridor of the Alaska Highway.","Whitehorse","municipality","{""type"":""FeatureCollection"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""features"":[{""type"":""Feature"",""properties"":{""CSDUID"":""6001009"",""CSDNAME"":""Whitehorse"",""CSDTYPE"":""CY"",""PRUID"":""60"",""PRNAME"":""Yukon"",""CDUID"":""6001"",""CDNAME"":""Yukon"",""CDTYPE"":""TER"",""CMAUID"":""990"",""CMANAME"":""Whitehorse"",""CMATYPE"":""D"",""CMAPUID"":""60990"",""SACTYPE"":""3"",""SACCODE"":""990"",""ERUID"":""6010"",""ERNAME"":""Yukon"",""CCSUID"":""6001045"",""CCSNAME"":""Yukon, Unorganized""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-134.9649,60.7496],[-134.959,60.7379],[-134.9414,60.703],[-134.9059,60.6643],[-134.9003,60.6583],[-134.8613,60.6458],[-134.8609,60.641],[-134.8599,60.628],[-134.8598,60.6275],[-134.8598,60.627],[-134.8582,60.6076],[-134.8575,60.5992],[-134.8574,60.5979],[-134.8567,60.5898],[-134.8661,60.5864],[-134.8777,60.5822],[-134.896,60.5756],[-134.9054,60.5722],[-134.9187,60.5674],[-134.9228,60.5659],[-134.9237,60.5658],[-134.925,60.5656],[-134.9627,60.5599],[-134.9809,60.5572],[-134.9809,60.5572],[-134.9871,60.5567],[-135.0264,60.5536],[-135.0915,60.5975],[-135.1218,60.6179],[-135.1229,60.6186],[-135.1633,60.6516],[-135.1781,60.6636],[-135.1781,60.6636],[-135.2007,60.6921],[-135.2107,60.7044],[-135.2213,60.7176],[-135.222,60.7184],[-135.224,60.7209],[-135.247,60.7493],[-135.2594,60.7663],[-135.2718,60.7832],[-135.2729,60.7917],[-135.2755,60.813],[-135.2756,60.8143],[-135.2757,60.8146],[-135.2786,60.8381],[-135.2787,60.8387],[-135.2787,60.8392],[-135.2779,60.8392],[-135.2754,60.8389],[-135.2733,60.8386],[-135.2706,60.8379],[-135.2687,60.8375],[-135.2667,60.8372],[-135.265,60.8373],[-135.2641,60.8376],[-135.2628,60.838],[-135.261,60.8391],[-135.2598,60.8403],[-135.258,60.8415],[-135.2568,60.8424],[-135.2553,60.8426],[-135.2534,60.8421],[-135.2511,60.8412],[-135.2481,60.8401],[-135.2461,60.839],[-135.2447,60.8381],[-135.2429,60.8373],[-135.2404,60.8364],[-135.2385,60.8358],[-135.2359,60.835],[-135.2345,60.8345],[-135.2327,60.8342],[-135.2315,60.8341],[-135.23,60.8345],[-135.2287,60.8352],[-135.2289,60.8358],[-135.2304,60.8363],[-135.2327,60.8364],[-135.2346,60.8371],[-135.2347,60.8379],[-135.234,60.8388],[-135.2324,60.8398],[-135.2316,60.8405],[-135.2312,60.8413],[-135.2313,60.8424],[-135.232,60.8433],[-135.2329,60.8444],[-135.2327,60.845],[-135.2321,60.8457],[-135.2315,60.8459],[-135.2301,60.8462],[-135.2292,60.8459],[-135.2284,60.8451],[-135.2277,60.8444],[-135.2267,60.8437],[-135.2255,60.843],[-135.2238,60.8426],[-135.2219,60.8424],[-135.2204,60.842],[-135.2191,60.8413],[-135.2182,60.8404],[-135.2191,60.8394],[-135.2206,60.8387],[-135.2221,60.8384],[-135.2236,60.8383],[-135.225,60.838],[-135.2255,60.8375],[-135.2254,60.837],[-135.2249,60.8364],[-135.2239,60.8358],[-135.2228,60.8352],[-135.2221,60.8346],[-135.2226,60.8337],[-135.2238,60.8324],[-135.2254,60.831],[-135.2253,60.8304],[-135.225,60.8297],[-135.2242,60.8292],[-135.2233,60.8289],[-135.2222,60.829],[-135.2211,60.8292],[-135.2201,60.8297],[-135.2196,60.8305],[-135.219,60.8313],[-135.2182,60.8318],[-135.2171,60.8323],[-135.2159,60.8327],[-135.2146,60.8328],[-135.2132,60.8331],[-135.2116,60.8333],[-135.2099,60.8336],[-135.2084,60.8337],[-135.2074,60.8339],[-135.2067,60.8342],[-135.2056,60.835],[-135.2049,60.8359],[-135.2041,60.8366],[-135.2034,60.837],[-135.2018,60.8377],[-135.2009,60.8379],[-135.1988,60.8381],[-135.1971,60.838],[-135.1953,60.8377],[-135.194,60.8376],[-135.1929,60.8376],[-135.1919,60.8381],[-135.1918,60.839],[-135.192,60.8406],[-135.1917,60.8415],[-135.1902,60.8423],[-135.1878,60.8425],[-135.1868,60.8425],[-135.1849,60.8424],[-135.1816,60.8421],[-135.1791,60.8421],[-135.1761,60.842],[-135.1373,60.8413],[-135.1368,60.8413],[-135.0814,60.8401],[-135.0804,60.8393],[-135.0017,60.783],[-134.9977,60.7794],[-134.9649,60.7496]]]}}]}",,,,,,,,,,,
"4203","City of Hamilton,Hamilton Citizens' Jury on Transit Public Forum","Completed","Completed","Completed","Hamilton City Council has authorized the creation of a Citizens' Jury on Transit (CJ) 19 city residents, just like you, who are discussing rapid transit and LRT in Hamilton over the next few months. They were selected from a randomly generated sample of city residents and reflect their diversity of our community. You are invited to follow their progress on this site. We will be posting videos and presentation material that the CJ will be hearing so that you can participate in the conversation.","Hamilton","municipality","{""type"":""FeatureCollection"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""features"":[{""type"":""Feature"",""properties"":{""CSDUID"":""3525005"",""CSDNAME"":""Hamilton"",""CSDTYPE"":""C"",""PRUID"":""35"",""PRNAME"":""Ontario"",""CDUID"":""3525"",""CDNAME"":""Hamilton"",""CDTYPE"":""CDR"",""CMAUID"":""537"",""CMANAME"":""Hamilton"",""CMATYPE"":""B"",""CMAPUID"":""35537"",""SACTYPE"":""1"",""SACCODE"":""537"",""ERUID"":""3550"",""ERNAME"":""Hamilton--Niagara Peninsula"",""CCSUID"":""3525005"",""CCSNAME"":""Hamilton""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-79.95931,43.41725],[-79.91255,43.38456],[-79.85995,43.34693],[-79.86404,43.33931],[-79.87539,43.32932],[-79.88434,43.32917],[-79.91253,43.30847],[-79.89038,43.29243],[-79.88744,43.28945],[-79.86859,43.28632],[-79.85443,43.29687],[-79.8432,43.30263],[-79.83168,43.30725],[-79.81535,43.31251],[-79.80316,43.29567],[-79.7941,43.29792],[-79.78148,43.27843],[-79.77071,43.26494],[-79.76222,43.25666],[-79.75028,43.24784],[-79.74368,43.24539],[-79.73224,43.24555],[-79.70698,43.23566],[-79.69451,43.2359],[-79.67909,43.23288],[-79.66544,43.22577],[-79.65499,43.22298],[-79.65024,43.22319],[-79.62795,43.22848],[-79.62234,43.22545],[-79.62597,43.21767],[-79.64964,43.16313],[-79.65863,43.14398],[-79.67806,43.14882],[-79.70975,43.15585],[-79.75411,43.05052],[-79.79037,43.06302],[-79.85056,43.08452],[-79.90075,43.10215],[-79.98993,43.134],[-80.04636,43.15439],[-80.11189,43.17844],[-80.16186,43.19613],[-80.20037,43.2106],[-80.21207,43.23866],[-80.23782,43.30452],[-80.24849,43.33359],[-80.1876,43.34323],[-80.19516,43.36515],[-80.19634,43.37061],[-80.20468,43.39752],[-80.18024,43.4014],[-80.1068,43.41358],[-80.07856,43.41806],[-80.08378,43.43501],[-80.03394,43.47076],[-79.97484,43.4282],[-79.95931,43.41725]]]}}]}",,,,,,,,,,,
"362","Environmental Assessment Office","Ajax Mine Project","Active","Active","KGHM Ajax Mining Inc. proposes to develop the Ajax Project, a new open-pit copper/ gold mine located south of and adjacent to the City of Kamloops. The mine would have a production capacity of up to 24 million tonnes of ore per year, over an anticipated 23-year mine life.","Thompson/Okanagan","region",,,,,,,,,,,,
"1111","Ministry of Transportation and Infrastructure","BC Coastal Ferries Community Engagement","Closed with results","Completed","The government of B.C. is charting a new course for our coastal ferries’ future. The guiding principles behind all future decisions to affect the coastal ferry service will be based on an affordable, efficient and sustainable system which protects basic service to coastal communities for future generations.","British Columbia","province",,,,,,,,,,,,
"2222","Province of BC","Emergency Program Act","Active","Active","Feedback is invited on 12 topics arising from the Emergency Program Act. You can provide feedback by joining the online discussion or sending your comments by email. The opportunity for comment is open from Jan. 11, 2016, until Apr. 22, 2016 at 4 p.m.","British Columbia","province",,"Online consultation.","The online discussion sets out challenges in the current legislation as well as proposals for possible changes.","http://engage.gov.bc.ca/emergencyprogramact/",,,,,,,,
